id,section,section_name,title,graph,status,census_rank
727,LIX,"Online, amortized & adaptive representations",Competitive-ratio facts,E,research,
728,LIX,"Online, amortized & adaptive representations",Amortized analysis as compiler knowledge,C,research,
729,LIX,"Online, amortized & adaptive representations",Potential-function synthesis,E,research,
730,LIX,"Online, amortized & adaptive representations",Cache-adaptive structures,D,research,
731,LIX,"Online, amortized & adaptive representations",Self-tuning representations,D,research,
732,LIX,"Online, amortized & adaptive representations",Representation hysteresis,D,partial,
733,LIX,"Online, amortized & adaptive representations",Persistent / purely functional representation candidates,D,partial,
734,LX,Ownership & heterogeneous placement,Linear/uniqueness information for destructive update,C,partial,
735,LX,Ownership & heterogeneous placement,Region polymorphism,D,research,
736,LX,Ownership & heterogeneous placement,Ownership-transfer optimization,D,partial,
737,LX,Ownership & heterogeneous placement,Zero-copy through the kernel,D,research,
738,LX,Ownership & heterogeneous placement,Device memory as ordinary place realization,D,research,
739,LX,Ownership & heterogeneous placement,Communication avoiding transformations,D,research,
740,LX,Ownership & heterogeneous placement,Replication as realization,D,research,
741,LX,Ownership & heterogeneous placement,Code specialization for data location,D,research,
742,LXI,"Energy, reliability & debug reconstruction",Energy as an explicit demanded resource,A,research,
743,LXI,"Energy, reliability & debug reconstruction",Thermal constraints,A,research,
744,LXI,"Energy, reliability & debug reconstruction",Wear/endurance constraints,E,research,
745,LXI,"Energy, reliability & debug reconstruction",Reliability / fault tolerance as realization,D,research,
746,LXI,"Energy, reliability & debug reconstruction",Approximate hardware / voltage scaling,D,research,
747,LXI,"Energy, reliability & debug reconstruction",Fault-injection-derived optimization validation,C,protocol,
748,LXI,"Energy, reliability & debug reconstruction",Reversible debugging as semantic reconstruction,B,partial,
749,LXII,Toolchain observation & any-time compilation,Observer virtualization should extend to the entire toolchain,A,partial,
750,LXII,Toolchain observation & any-time compilation,Semantic breakpoints,A,research,
751,LXII,Toolchain observation & any-time compilation,Semantic profiling,A,research,
752,LXII,Toolchain observation & any-time compilation,Cross-version profile correspondence,A,partial,
753,LXII,Toolchain observation & any-time compilation,Profile synthesis from static laws,A,research,
754,LXII,Toolchain observation & any-time compilation,Compile-time hotness estimation,E,research,
755,LXII,Toolchain observation & any-time compilation,Semantic diff-driven compilation priority,E,protocol,
756,LXII,Toolchain observation & any-time compilation,Deadline-aware compiler scheduling,D,partial,
757,LXII,Toolchain observation & any-time compilation,Any-time compilation,D,protocol,
758,LXII,Toolchain observation & any-time compilation,Proof-budgeted compilation,C,protocol,
759,LXIII,Trusted core & semantic linking,Trusted-core minimization,C,research,6
760,LXIII,Trusted core & semantic linking,Proof-carrying foreign libraries,C,protocol,
761,LXIII,Trusted core & semantic linking,Semantic package ecosystem,C,research,
762,LXIII,Trusted core & semantic linking,ABI-less whole-program composition,D,research,
763,LXIII,Trusted core & semantic linking,Semantic linking,D,research,
764,LXIII,Trusted core & semantic linking,Semantic dynamic linking,D,research,
765,LXIII,Trusted core & semantic linking,Hot replacement by semantic compatibility,D,research,
766,LXIII,Trusted core & semantic linking,State migration synthesis,C,research,
767,LXIII,Trusted core & semantic linking,Semantic serialization versioning,C,research,
768,LXIII,Trusted core & semantic linking,Compiler-generated compatibility shims,C,partial,
769,LXIII,Trusted core & semantic linking,Formalized no-op boundary,C,partial,
770,LXIII,Trusted core & semantic linking,Boundary contraction as a general transformation,C,partial,6
771,LXIII,Trusted core & semantic linking,Composition-driven whole-system optimization,D,partial,6
772,LXIII,Trusted core & semantic linking,Cancellation laws across boundaries,C,partial,
773,LXIII,Trusted core & semantic linking,Adjoint/inverse-pair exploitation,C,partial,
774,LXIV,Law & demand algebra extensions,Law induction from implementations,C,research,
775,LXIV,Law & demand algebra extensions,Automatic theorem mining,C,protocol,
776,LXIV,Law & demand algebra extensions,Dynamic law discovery under sealed domains,C,research,
777,LXIV,Law & demand algebra extensions,Law specialization itself,C,partial,
778,LXIV,Law & demand algebra extensions,Proof-directed demand propagation,B,research,
779,LXIV,Law & demand algebra extensions,Algebraic demand synthesis,B,partial,1
780,LXV,"Errors, fairness, resources & topology",Algebra of errors/failure,C,research,
781,LXV,"Errors, fairness, resources & topology",Algebra of nondeterminism,C,research,
782,LXV,"Errors, fairness, resources & topology",Fairness as explicit observation,A,law,
783,LXV,"Errors, fairness, resources & topology",Determinism as a selectable law,C,law,
784,LXV,"Errors, fairness, resources & topology",Reproducibility as a realization constraint,C,law,
785,LXV,"Errors, fairness, resources & topology",Semantic resource types without type-system ceremony,C,law,
786,LXV,"Errors, fairness, resources & topology",Temporal lifetime algebra,C,partial,
787,LXV,"Errors, fairness, resources & topology",Spatial relationship facts,D,research,
788,LXV,"Errors, fairness, resources & topology",Topology-aware world algebra,D,research,
789,LXV,"Errors, fairness, resources & topology",Compiler-generated topology abstractions,D,research,
790,LXVI,Distributed & edge realization,Automatic distributed partitioning from dependency cuts,D,research,
791,LXVI,Distributed & edge realization,Distributed fusion,D,research,
792,LXVI,Distributed & edge realization,Compute migration vs data migration choice,D,research,
793,LXVI,Distributed & edge realization,Edge/server/client split as realization,D,research,
794,LXVII,"Privacy, crypto & secure compilation",Privacy as world/demand fact,C,law,
795,LXVII,"Privacy, crypto & secure compilation",Differential privacy optimization,D,research,
796,LXVII,"Privacy, crypto & secure compilation",Cryptographic realization selection,D,research,
797,LXVII,"Privacy, crypto & secure compilation",Homomorphic / MPC realization,D,research,
798,LXVII,"Privacy, crypto & secure compilation",Enclave realization,D,research,
799,LXVII,"Privacy, crypto & secure compilation",Verified secure compilation,C,research,
800,LXVIII,Generalization & semantic factoring,Anti-unification and automatic semantic generalization,C,research,3
801,LXVIII,Generalization & semantic factoring,Semantic factoring / minimum-description compiler state,C,research,2
802,LXVIII,Generalization & semantic factoring,Specialization explosion control through semantic factoring,D,partial,
803,LXVIII,Generalization & semantic factoring,Semantic clone merging,C,research,
804,LXVIII,Generalization & semantic factoring,Semantic outlining,D,partial,
805,LXIX,Granularity algebra,Algebra of granularity,D,research,
806,LXIX,Granularity algebra,Granularity conversion elimination,D,partial,
807,LXX,Dimensional & shape semantics,Dimensional/unit semantics,C,research,
808,LXX,Dimensional & shape semantics,Symbolic dimensional analysis for hardware,D,research,
809,LXX,Dimensional & shape semantics,Shape polymorphism without tensor ontology,C,research,
810,LXX,Dimensional & shape semantics,Tensor contraction planning,D,research,
811,LXX,Dimensional & shape semantics,Sparse computation algebra,D,research,
812,LXX,Dimensional & shape semantics,Structural zeros as non-values,B,partial,
813,LXXI,Symmetry & group quotienting,Symmetry exploitation,A,research,
814,LXXI,Symmetry & group quotienting,Group-action quotienting,A,research,
815,LXXI,Symmetry & group quotienting,Canonical representative synthesis,C,research,8
816,LXXII,Abstraction & adjustable precision,State-space reduction from invariants,C,research,
817,LXXII,Abstraction & adjustable precision,Abstract-state minimization,E,research,
818,LXXII,Abstraction & adjustable precision,Predicate abstraction,B,research,
819,LXXII,Abstraction & adjustable precision,Counterexample-guided abstraction refinement,C,protocol,
820,LXXII,Abstraction & adjustable precision,Precision as a compiler resource,E,partial,
821,LXXII,Abstraction & adjustable precision,Lazy precision refinement,B,partial,
822,LXXIII,Compiler self-query optimization,Semantic query planning for the compiler itself,E,partial,
823,LXXIII,Compiler self-query optimization,Analysis fusion,E,partial,6
824,LXXIII,Compiler self-query optimization,Analysis sharing across optimizations,E,partial,
825,LXXIV,Negative knowledge & contradiction,Semantic negative knowledge,C,partial,
826,LXXIV,Negative knowledge & contradiction,Exclusion sets,C,partial,5
827,LXXIV,Negative knowledge & contradiction,Contradiction as a first-class result,C,law,
828,LXXIV,Negative knowledge & contradiction,Unsatisfiable-core extraction,C,protocol,5
829,LXXIV,Negative knowledge & contradiction,Explanation-minimal compilation diagnostics,A,partial,
830,LXXIV,Negative knowledge & contradiction,Optimization refusal minimization,D,partial,4
831,LXXV,Guard synthesis & optimization,Minimal guard synthesis,D,partial,4
832,LXXV,Guard synthesis & optimization,Guard sharing,D,partial,
833,LXXV,Guard synthesis & optimization,Guard implication,C,partial,
834,LXXV,Guard synthesis & optimization,Guard ordering optimization,D,partial,
835,LXXV,Guard synthesis & optimization,Guard elimination from profile/world sealing,D,partial,
836,LXXV,Guard synthesis & optimization,Proof-directed guard removal,D,protocol,
837,LXXVI,Semantic multiversioning,Semantic multiversioning,D,partial,
838,LXXVI,Semantic multiversioning,Version lattice,D,partial,
839,LXXVI,Semantic multiversioning,Version subsumption,D,partial,
840,LXXVI,Semantic multiversioning,Version synthesis from observed fact clusters,D,protocol,
841,LXXVI,Semantic multiversioning,Version migration across program revisions,C,protocol,
842,LXXVI,Semantic multiversioning,Dynamic semantic patching,D,protocol,
843,LXXVII,Runtime phase & representation migration,Hot-code relocation,D,partial,
844,LXXVII,Runtime phase & representation migration,Hot-data relocation,D,partial,
845,LXXVII,Runtime phase & representation migration,Runtime representation migration,D,partial,
846,LXXVII,Runtime phase & representation migration,Phase detection,A,research,
847,LXXVII,Runtime phase & representation migration,Freeze-point inference,C,research,
848,LXXVII,Runtime phase & representation migration,Initialization/runtime phase separation,D,partial,
849,LXXVII,Runtime phase & representation migration,Destructive initialization,D,research,
850,LXXVIII,Fact liveness & compiler memory,Ephemeral semantic facts,E,partial,
851,LXXVIII,Fact liveness & compiler memory,Fact liveness,E,partial,
852,LXXVIII,Fact liveness & compiler memory,Proof liveness,E,partial,7
853,LXXVIII,Fact liveness & compiler memory,Provenance liveness,E,partial,
854,LXXVIII,Fact liveness & compiler memory,Semantic cold storage,E,research,
855,LXXVIII,Fact liveness & compiler memory,Fact recomputation versus retention,E,partial,
856,LXXVIII,Fact liveness & compiler memory,Compile-time memory hierarchy,E,research,
857,LXXVIII,Fact liveness & compiler memory,Semantic prefetching,E,research,
858,LXXIX,Compiler self-realization,Layout autotuning for the compiler graph,E,research,
859,LXXIX,Compiler self-realization,Target-specific compiler realization,E,partial,
860,LXXIX,Compiler self-realization,Self-specializing compiler B,E,partial,
861,LXXIX,Compiler self-realization,Compiler feature DCE,E,partial,
862,LXXIX,Compiler self-realization,Compiler staging,E,partial,
863,LXXIX,Compiler self-realization,Compiler snapshot image,E,research,
864,LXXIX,Compiler self-realization,Zero-deserialization compiler startup,E,research,
865,LXXIX,Compiler self-realization,Shared compiler semantic pages,E,research,
866,LXXIX,Compiler self-realization,Persistent compiler daemon as merely another realization,E,partial,
867,LXXIX,Compiler self-realization,Fork-friendly compiler state,E,research,
868,LXXX,Distributed & untrusted compilation,Deterministic parallel semantic evaluation,C,protocol,
869,LXXX,Distributed & untrusted compilation,Deterministic IDs without hash identity,C,law,
870,LXXX,Distributed & untrusted compilation,Canonical serialization of semantic graph,C,protocol,
871,LXXX,Distributed & untrusted compilation,Merkle acceleration without Merkle identity,C,protocol,
872,LXXX,Distributed & untrusted compilation,Proof-carrying distributed compilation,D,protocol,
873,LXXX,Distributed & untrusted compilation,Untrusted build farm,D,protocol,9
874,LXXX,Distributed & untrusted compilation,Optimization marketplace,D,protocol,
875,LXXX,Distributed & untrusted compilation,Hardware vendor semantic providers,D,protocol,
